         27639943 function calls (27011647 primitive calls) in 586.540 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1540307    0.377    0.000    0.382    0.000 {built-in method builtins.getattr}
  5740/17    0.106    0.000    0.375    0.022 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\threading.py:637(wait)
       69    0.371    0.005    0.371    0.005 {method 'astype' of 'numpy.ndarray' objects}
    40326    0.240    0.000    0.370    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\dtypes\cast.py:1156(maybe_infer_to_datetimelike)
    13442    0.030    0.000    0.368    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\indexes\base.py:5651(identical)
       52    0.007    0.000    0.357    0.007 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\indexes\base.py:7770(get_values_for_csv)
       34    0.000    0.000    0.352    0.010 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\internals\blocks.py:775(get_values_for_csv)
   203228    0.327    0.000    0.328    0.000 {built-in method _winapi.WaitForSingleObject}
        1    0.025    0.025    0.323    0.323 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\internals\concat.py:296(_get_combined_plan)
       25    0.001    0.000    0.323    0.013 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\popen_spawn_win32.py:45(__init__)
     3167    0.005    0.000    0.320    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\tqdm\utils.py:386(disp_trim)
    25204    0.317    0.000    0.317    0.000 {method 'cancel' of '_winapi.Overlapped' objects}
       25    0.000    0.000    0.316    0.013 c:\Users\paula\.vscode\extensions\ms-python.debugpy-2024.14.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\pydev_monkey.py:901(new_CreateProcess)
       25    0.316    0.013    0.316    0.013 {built-in method _winapi.CreateProcess}
    13442    0.009    0.000    0.311    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\io\parsers\readers.py:1990(__exit__)
     2839    0.123    0.000    0.305    0.000 c:\Users\paula\.vscode\extensions\ms-python.debugpy-2024.14.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1765(process_internal_commands)
    80652    0.182    0.000    0.303    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\numpy\_core\numeric.py:300(full)
   806600    0.203    0.000    0.295    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\core\dtypes\generic.py:37(_check)
        1    0.000    0.000    0.291    0.291 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\pool.py:314(_repopulate_pool_static)
    13442    0.018    0.000    0.289    0.000 c:\Users\paula\OneDrive\Documents\Financial Modelling Package\.venv\Lib\site-packages\pandas\io\parsers\readers.py:1622(close)
